car_name,rating,price,mileage,engine
Renault Triber,4.4,"Rs.5.81 - 8.69 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",20 kmpl,999 cc
MG Comet EV,4.3,"Rs.7.80 - 10.07 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Honda Elevate,4.4,"Rs.11.81 - 16.98 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",16.92 kmpl,1498 cc
Nissan Tekton,4.7,"Rs.10.49 - 18.59 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",19.4 kmpl,1333 cc
Toyota Rumion,4.6,"Rs.9.79 - 14.21 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",20.51 kmpl,1462 cc
Tata Harrier EV,4.8,"Rs.21.79 - 30.54 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
MG Hector Tomahawk PHEV,,"Rs.25.70 - 27.80 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,1498 cc
Audi Q3,4.3,"Rs.43.67 - 52.31 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",10.14 kmpl,1984 cc
Tata Curvv,4.7,"Rs.10 - 19 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",12 kmpl,1497 cc
Force Urbania,4.6,"Rs.26.34 - 34.32 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",11 kmpl,2596 cc
Kia Syros,4.6,"Rs.8.42 - 15.82 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,1493 cc
BMW X1,4.5,"Rs.50.90 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",16.35 kmpl,1499 cc
Hyundai Alcazar,4.5,"Rs.14.51 - 21.25 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",20.4 kmpl,1493 cc
Maruti Suzuki Jimny,4.5,"Rs.12.54 - 14.67 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",16.94 kmpl,1462 cc
MG Majestor,5,"Rs.42.49 - 44.99 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,1996 cc
Toyota Fortuner Legender,4.5,"Rs.42.92 - 48.29 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",10.52 kmpl,2755 cc
MG Cyberster,4.7,"Rs.82.50 - 87.49 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Volkswagen Taigun,4.4,"Rs.11 - 19.30 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",19.98 kmpl,1498 cc
Kia Carnival,4.6,"Rs.59.65 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",14.85 kmpl,2151 cc
Mercedes-Benz E-Class,4.6,"Rs.80 - 93.50 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",15 kmpl,2999 cc
Kia Syros EV,4.7,"Rs.13.50 - 20 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
BMW X5,4.3,"Rs.96.90 Lakh - 1.12 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",12 kmpl,2998 cc
Maruti Suzuki Eeco,4.3,"Rs.5.28 - 6.46 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",19.71 kmpl,1197 cc
Jeep Compass,4.2,"Rs.17.99 - 30.95 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",17.1 kmpl,1956 cc
Range Rover Velar,4.5,"Rs.87.50 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",15.8 kmpl,1997 cc
Audi Q7,4.7,"Rs.87.17 - 96.15 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",11 kmpl,2995 cc
Kia Carens Clavis,4.6,"Rs.11.39 - 21.79 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",19.54 kmpl,1497 cc
Mercedes-Benz GLS,4.5,"Rs.1.32 - 1.43 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",12 kmpl,2999 cc
Renault Kiger,4.5,"Rs.5.81 - 10.35 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",20.38 kmpl,999 cc
Hyundai Creta Electric,4.8,"Rs.18.03 - 24.70 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Tata Curvv EV,4.7,"Rs.17.19 - 19.69 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Audi A4,4.3,"Rs.46.88 - 55.83 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",15 kmpl,1984 cc
Lamborghini Urus,4.6,"Rs.4.18 - 4.57 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",5.5 kmpl,3999 cc
Skoda Kodiaq,4.5,"Rs.36.99 - 46.99 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",14.86 kmpl,1984 cc
Maruti Suzuki Ciaz,4.5,"Rs.9.09 - 11.88 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",20.65 kmpl,1462 cc
Force Gurkha,4.3,"Rs.16.31 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",9.5 kmpl,2596 cc
BMW M2,4.5,"Rs.1.06 - 1.66 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",10.19 kmpl,2993 cc
VinFast VF7,4.4,"Rs.22.99 - 28.09 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Citroen C3 X,4.3,"Rs.4.99 - 10.21 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",19.3 kmpl,1199 cc
Vayve Mobility Eva,4.6,"Rs.3.99 - 5.99 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Maruti Suzuki Invicto,4.4,"Rs.24.97 - 28.70 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",23.24 kmpl,1987 cc
BMW Z4,4.4,"Rs.90.50 - 95.20 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",8.5 kmpl,2998 cc
BYD Atto 3,4.2,"Rs.24.99 - 34.49 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Tata Tigor,4.3,"Rs.5.70 - 9.10 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",19.6 kmpl,1199 cc
Jeep Wrangler,4.7,"Rs.66.20 - 70.80 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",11.4 kmpl,1995 cc
MG Astor,4.3,"Rs.9.79 - 15.30 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",15.43 kmpl,1498 cc
Volvo XC90,4.8,"Rs.97.80 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",12.35 kmpl,1969 cc
Lexus ES 350h,,"Rs.66.10 - 71.80 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",25.22 kmpl,2487 cc
Range Rover Sport,4.3,"Rs.1.43 - 2.35 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,4395 cc
BMW M4 Competition,4.6,"Rs.1.60 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",9.7 kmpl,2993 cc
BMW X3,4.3,"Rs.69.90 - 76 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",17.86 kmpl,1998 cc
Porsche Cayenne,4.5,"Rs.1.39 - 1.94 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",10.8 kmpl,2894 cc
BMW 5 Series,4.5,"Rs.76.60 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",15.7 kmpl,1998 cc
Jeep Meridian,4.3,"Rs.23.33 - 38.26 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",14.1 kmpl,1956 cc
BYD Sealion 7,4.7,"Rs.41.90 - 55.90 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Range Rover Evoque,4.4,"Rs.64.86 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",12.82 kmpl,1997 cc
VinFast VF6,4.5,"Rs.18.19 - 20.09 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
MG ZS EV,4.2,"Rs.17.99 - 20.75 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
BMW iX1,4.6,"Rs.52.40 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
BMW X1 LWB,5,"Rs.49.90 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",15.5 kmpl,1499 cc
